"lat_bin","lon_bin","year","dist_km","ring","n_pings","n_fishing","frac","log_pings"
-44,-74,2021,6.04479553036773,"5–10 km",48,43,0.895833333333333,3.89182029811063
-44,-74,2022,6.04479553036773,"5–10 km",39,30,0.769230769230769,3.68887945411394
-44,-74,2023,6.04479553036773,"5–10 km",27,10,0.37037037037037,3.3322045101752
-44,-74,2024,6.04479553036773,"5–10 km",2,0,0,1.09861228866811
-44,-73.95,2019,4.30156027514563,"2–5 km",67,52,0.776119402985075,4.21950770517611
-44,-73.95,2020,4.30156027514563,"2–5 km",42,33,0.785714285714286,3.76120011569356
-44,-73.95,2021,4.30156027514563,"2–5 km",66,48,0.727272727272727,4.20469261939097
-44,-73.95,2022,4.30156027514563,"2–5 km",94,37,0.393617021276596,4.55387689160054
-44,-73.95,2023,4.30156027514563,"2–5 km",38,6,0.157894736842105,3.66356164612965
-44,-73.9,2019,1.17050134152154,"0–2 km",29,21,0.724137931034483,3.40119738166216
-44,-73.9,2020,1.17050134152154,"0–2 km",26,18,0.692307692307692,3.29583686600433
-44,-73.9,2021,1.17050134152154,"0–2 km",46,30,0.652173913043478,3.85014760171006
-44,-73.9,2022,1.17050134152154,"0–2 km",33,9,0.272727272727273,3.52636052461616
-44,-73.9,2023,1.17050134152154,"0–2 km",13,0,0,2.63905732961526
-44,-73.9,2025,1.17050134152154,"0–2 km",1,0,0,0.693147180559945
-44,-73.85,2019,0.710964401322733,"0–2 km",403,70,0.173697270471464,6.00141487796115
-44,-73.85,2020,0.710964401322733,"0–2 km",264,35,0.132575757575758,5.57972982598622
-44,-73.85,2021,0.710964401322733,"0–2 km",94,32,0.340425531914894,4.55387689160054
-44,-73.85,2022,0.710964401322733,"0–2 km",124,47,0.379032258064516,4.8283137373023
-44,-73.85,2023,0.710964401322733,"0–2 km",154,17,0.11038961038961,5.04342511691925
-44,-73.8,2019,3.34345773825548,"2–5 km",7248,2245,0.309740618101545,8.88861880730088
-44,-73.8,2020,3.34345773825548,"2–5 km",9903,2474,0.249823285872968,9.20069399492438
-44,-73.8,2021,3.34345773825548,"2–5 km",7847,2164,0.275774181215751,8.9680140012452
-44,-73.8,2022,3.34345773825548,"2–5 km",3907,981,0.2510877911441,8.27078101316267
-44,-73.8,2023,3.34345773825548,"2–5 km",310,25,0.0806451612903226,5.73979291217923
-44,-73.8,2024,3.34345773825548,"2–5 km",97,4,0.0412371134020619,4.58496747867057
-44,-73.8,2025,3.34345773825548,"2–5 km",68,21,0.308823529411765,4.23410650459726
-44,-73.75,2019,0.508175808849249,"0–2 km",7734,6792,0.878200155159038,8.95351076300717
-44,-73.75,2020,0.508175808849249,"0–2 km",9431,8794,0.93245679143251,9.15186344221721
-44,-73.75,2021,0.508175808849249,"0–2 km",8408,7703,0.916151284490961,9.0370578398329
-44,-73.75,2022,0.508175808849249,"0–2 km",3925,3408,0.86828025477707,8.27537637483641
-44,-73.75,2023,0.508175808849249,"0–2 km",460,41,0.0891304347826087,6.13339804299665
-44,-73.75,2024,0.508175808849249,"0–2 km",78,1,0.0128205128205128,4.36944785246702
-44,-73.75,2025,0.508175808849249,"0–2 km",104,18,0.173076923076923,4.65396035015752
-44,-73.75,2026,0.508175808849249,"0–2 km",3,0,0,1.38629436111989
-44,-73.7,2019,3.80936482219815,"2–5 km",2,0,0,1.09861228866811
-44,-73.7,2020,3.80936482219815,"2–5 km",4,0,0,1.6094379124341
-44,-73.65,2019,7.73538727086819,"5–10 km",4,0,0,1.6094379124341
-44,-73.65,2020,7.73538727086819,"5–10 km",20,6,0.3,3.04452243772342
-44,-73.65,2021,7.73538727086819,"5–10 km",21,9,0.428571428571429,3.09104245335832
-44,-73.6,2019,9.60557820524507,"5–10 km",445,417,0.937078651685393,6.10031895202006
